LSXPHOTO000004007,2019-11-20 9:29:00,12.8,5.9,13,13
LSXPHOTO000004008,2019-11-20 9:29:01,12.9,6.4,12,12
LSXPHOTO000004004,2019-11-20 9:30:00,13,13.2,11,0
DYKZ0000000009137,2019-11-20 9:31:00,13.2,7.8,3170,1
LSXPHOTO000004021,2019-11-20 9:36:01,12.9,7.6,13,12
LSXPHOTO000004002,2019-11-20 9:38:00,12.9,8.1,12,12
LSXPHOTO000004047,2019-11-25 10:53:01,16.1,8.1,66,0
LSYPHOTO000009926,2019-11-25 11:00:00,14.7,9.5,66,3
DYKZ0000000009137,2019-11-25 11:00:01,13.2,7.6,3291,2
LSXPHOTO000004012,2019-11-25 11:02:00,16.1,8.5,67,1
DYKZ0000000009131,2019-11-25 11:12:00,13.3,8.5,3315,20
DYKZ0000000009133,2019-11-25 11:13:00,13.3,12.7,3214,19
LSXPHOTO000004046,2019-11-25 11:16:00,16.1,7.1,67,1
LSXPHOTO000004047,2019-11-25 11:23:00,16.1,8.5,67,1
LSYPHOTO000009926,2019-11-25 11:30:00,14.7,9.8,67,4
LSXPHOTO000004012,2019-11-25 11:32:00,16.1,8.5,67,1
DYKZ0000000009133,2019-11-25 11:43:00,13.3,15.1,3214,19
LSXPHOTO000004046,2019-11-25 11:46:00,16.1,7.3,67,1
LSXPHOTO000004047,2019-11-25 11:53:00,16,8.5,67,1
DYKZ0000000009136,2019-11-25 11:59:00,11.8,5.9,31,1
LSYPHOTO000009926,2019-11-25 12:00:00,14.7,9.3,67,4
DYKZ0000000009137,2019-11-25 12:00:01,13.2,10.5,3292,3
LSXPHOTO000004012,2019-11-25 12:02:00,16.1,8.5,68,2
DYKZ0000000009131,2019-11-25 12:05:00,13.3,12.2,3316,1
DYKZ0000000009133,2019-11-25 12:13:00,13.3,16.1,3215,20
LSXPHOTO000004046,2019-11-25 12:16:00,16.1,6.8,68,2
LSXPHOTO000004047,2019-11-25 12:23:00,16.1,8.3,68,2
LSYPHOTO000009926,2019-11-25 12:30:00,14.7,9.3,68,5
DYKZ0000000009137,2019-11-25 12:30:01,13.2,11.5,3292,3
LSXPHOTO000004012,2019-11-25 12:32:00,16.1,8.5,68,2
DYKZ0000000009131,2019-11-25 12:35:00,13.3,13.7,3316,1
DYKZ0000000009133,2019-11-25 12:43:00,13.3,16.4,3215,20
LSXPHOTO000004046,2019-11-25 12:46:01,16.1,7.3,68,2
LSXPHOTO000004047,2019-11-25 12:53:01,16.1,8.8,68,2
LSYPHOTO000009926,2019-11-25 13:00:01,14.7,10,68,5
LSXPHOTO000004012,2019-11-25 13:02:00,16.1,9,69,3
DYKZ0000000009131,2019-11-25 13:05:00,13.3,14.7,3317,2
LSXPHOTO000004046,2019-11-25 13:16:00,16.1,7.8,69,3
DYKZ0000000009132,2019-11-25 13:18:00,11.9,0.7,2903,1
DYKZ0000000009133,2019-11-25 13:22:00,13.3,17.1,3216,1
LSXPHOTO000004047,2019-11-25 13:23:01,16.1,9,69,3
LSYPHOTO000009926,2019-11-25 13:30:01,14.7,10.5,69,6
DYKZ0000000009137,2019-11-25 13:30:00,13.2,13.2,3293,4
LSXPHOTO000004012,2019-11-25 13:32:00,16.1,9.5,69,3
DYKZ0000000009131,2019-11-25 13:35:00,13.3,15.6,3317,2
LSXPHOTO000004046,2019-11-25 13:46:01,16.1,8.3,69,3
DYKZ0000000009132,2019-11-25 13:48:00,11.3,4.6,2903,1
DYKZ0000000009133,2019-11-25 13:52:00,13.3,17.1,3216,1
LSXPHOTO000004047,2019-11-25 13:53:01,16.1,9.5,69,3
LSYPHOTO000009926,2019-11-25 14:00:01,14.7,11,69,6
DYKZ0000000009137,2019-11-25 14:00:01,13.2,13.4,3294,5
LSXPHOTO000004012,2019-11-25 14:02:00,16.1,10,70,4
DYKZ0000000009131,2019-11-25 14:05:00,13.3,16.1,3318,3
LSXPHOTO000004046,2019-11-25 14:16:00,16.1,8.5,70,4
DYKZ0000000009132,2019-11-25 14:18:00,11.9,7.6,2904,2
DYKZ0000000009133,2019-11-25 14:22:00,13.3,16.6,3217,2
LSXPHOTO000004047,2019-11-25 14:23:00,16.1,9.8,70,4
DYKZ0000000009137,2019-11-25 14:30:01,13.2,13.7,3294,5
LSYPHOTO000009926,2019-11-25 14:30:01,14.7,10.7,70,7
LSXPHOTO000004012,2019-11-25 14:32:01,16.1,10,70,4
DYKZ0000000009131,2019-11-25 14:35:00,13.3,17.1,3318,3
DYKZ0000000009136,2019-11-25 14:30:00,13,9.8,32,0
LSXPHOTO000004046,2019-11-25 14:46:01,16.1,8.3,70,4
DYKZ0000000009132,2019-11-25 14:48:00,12.1,9.5,2904,2
DYKZ0000000009133,2019-11-25 14:52:00,13.3,17.3,3217,2
LSXPHOTO000004047,2019-11-25 14:53:00,16.1,9.8,70,4
LSYPHOTO000009926,2019-11-25 15:00:01,14.7,11,70,7
DYKZ0000000009137,2019-11-25 15:00:01,13.2,13.4,3295,6
LSXPHOTO000004012,2019-11-25 15:02:00,16.1,10,71,5
DYKZ0000000009131,2019-11-25 15:05:00,13.3,17.8,3319,4
LSXPHOTO000004046,2019-11-25 15:16:00,16.1,8.5,71,5
DYKZ0000000009132,2019-11-25 15:18:00,12.1,11.5,2905,3
DYKZ0000000009133,2019-11-25 15:22:00,13.3,18.6,3218,3
LSXPHOTO000004047,2019-11-25 15:23:00,16.1,9.8,71,5
LSYPHOTO000009926,2019-11-25 15:30:01,14.7,10.7,71,8
DYKZ0000000009137,2019-11-25 15:30:01,13.2,13.2,3295,6
LSXPHOTO000004012,2019-11-25 15:32:01,16,10,71,5
DYKZ0000000009136,2019-11-25 15:30:01,12.9,12.2,33,1
DYKZ0000000009131,2019-11-25 15:35:01,13.1,19.3,3319,4
LSXPHOTO000004046,2019-11-25 15:46:01,16.1,8.3,71,5
DYKZ0000000009132,2019-11-25 15:48:00,12,12.5,2905,3
DYKZ0000000009133,2019-11-25 15:52:00,13.3,18.6,3218,3
LSXPHOTO000004047,2019-11-25 15:53:00,16,9.8,71,5
LSYPHOTO000009926,2019-11-25 16:00:00,14.7,10.7,71,8
DYKZ0000000009137,2019-11-25 16:00:01,13.2,13.2,3296,7
DYKZ0000000009136,2019-11-25 16:00:01,12.7,12.7,34,2
LSXPHOTO000004012,2019-11-25 16:02:00,16,10.3,72,6
DYKZ0000000009131,2019-11-25 16:05:01,12.9,19.5,3320,5
LSXPHOTO000004046,2019-11-25 16:16:00,16,8.3,72,6
DYKZ0000000009132,2019-11-25 16:18:00,11.6,12.7,2906,4
DYKZ0000000009133,2019-11-25 16:22:00,13.3,17.8,3219,4
LSXPHOTO000004047,2019-11-25 16:23:00,16,9.3,72,6
LSYPHOTO000009926,2019-11-25 16:30:01,14.8,10.3,72,9
DYKZ0000000009137,2019-11-25 16:30:01,13.1,12.2,3296,7
LSXPHOTO000004012,2019-11-25 16:32:00,16,9.5,72,6
DYKZ0000000009131,2019-11-25 16:33:01,12.5,17.8,3320,5
LSXPHOTO000004046,2019-11-25 16:46:00,16,7.3,72,6
DYKZ0000000009132,2019-11-25 16:48:00,11.7,11.5,2906,4
DYKZ0000000009133,2019-11-25 16:52:00,13.3,15.4,3219,4
LSXPHOTO000004047,2019-11-25 16:53:00,16,8.3,72,6
DYKZ0000000009137,2019-11-25 17:00:00,12.7,10.5,3297,8
LSYPHOTO000009926,2019-11-25 17:00:00,14.7,9,72,9
LSXPHOTO000004012,2019-11-25 17:02:00,16,8.5,73,7
DYKZ0000000009131,2019-11-25 17:03:01,12.2,15.1,3321,6
LSXPHOTO000004046,2019-11-25 17:16:01,16,6.4,73,7
DYKZ0000000009132,2019-11-25 17:18:00,11.6,9.5,2907,5
LSXPHOTO000004047,2019-11-25 17:23:01,15.9,7.3,73,7
DYKZ0000000009136,2019-11-25 17:30:01,11.8,12.5,35,3
LSYPHOTO000009926,2019-11-25 17:30:00,14.7,8.5,73,10
DYKZ0000000009137,2019-11-25 17:30:00,12.3,9,3297,8
LSXPHOTO000004012,2019-11-25 17:32:00,16,7.6,73,7
DYKZ0000000009131,2019-11-25 17:33:01,12.1,12.9,3321,6
LSXPHOTO000004046,2019-11-25 17:46:01,15.9,5.9,73,7
DYKZ0000000009132,2019-11-25 17:48:00,11.4,5.9,2907,5
DYKZ0000000009133,2019-11-25 17:52:00,12.2,10.5,3220,5
LSXPHOTO000004047,2019-11-25 17:53:00,15.9,6.8,73,7
LSYPHOTO000009926,2019-11-25 18:00:00,14.7,7.8,73,10
DYKZ0000000009137,2019-11-25 18:00:00,12.2,7.8,3298,9
LSXPHOTO000004012,2019-11-25 18:02:01,16,7.3,74,8
DYKZ0000000009136,2019-11-25 18:00:01,11.7,11.2,36,4
DYKZ0000000009131,2019-11-25 18:03:00,12.1,11,3322,7
LSXPHOTO000004046,2019-11-25 18:16:00,15.9,5.1,74,8
DYKZ0000000009132,2019-11-25 18:18:01,11.3,3.9,2908,6
DYKZ0000000009133,2019-11-25 18:22:00,12.1,8.8,3221,6
LSXPHOTO000004047,2019-11-25 18:23:01,16,6.4,74,8
LSYPHOTO000009926,2019-11-25 18:30:00,14.7,7.6,74,11
DYKZ0000000009137,2019-11-25 18:30:01,12.1,6.4,3298,9
LSXPHOTO000004012,2019-11-25 18:32:01,16,6.8,74,8
DYKZ0000000009131,2019-11-25 18:33:00,12,9.8,3322,7
LSXPHOTO000004046,2019-11-25 18:46:01,16,5.1,74,8
DYKZ0000000009132,2019-11-25 18:48:01,11.3,2.7,2908,6
DYKZ0000000009133,2019-11-25 18:52:00,12,8.5,3221,6
LSXPHOTO000004047,2019-11-25 18:53:01,16,6.1,74,8
LSYPHOTO000009926,2019-11-25 19:00:00,14.7,7.6,74,11
DYKZ0000000009137,2019-11-25 19:00:01,12,7.1,3299,10
LSXPHOTO000004012,2019-11-25 19:02:00,16,6.8,75,9
DYKZ0000000009131,2019-11-25 19:03:00,11.9,9.3,3323,8
LSXPHOTO000004046,2019-11-25 19:16:00,16,5.1,75,9
DYKZ0000000009132,2019-11-25 19:18:01,11.2,2,2909,7
DYKZ0000000009133,2019-11-25 19:22:00,11.9,9,3222,7
LSXPHOTO000004047,2019-11-25 19:23:00,16,6.1,75,9
LSYPHOTO000009926,2019-11-25 19:30:00,14.7,7.3,75,12
DYKZ0000000009137,2019-11-25 19:30:00,12,7.6,3299,10
DYKZ0000000009136,2019-11-25 19:30:00,11.6,11.7,37,5
LSXPHOTO000004012,2019-11-25 19:32:01,16,6.6,75,9
DYKZ0000000009131,2019-11-25 19:33:00,11.9,8.8,3323,8
LSXPHOTO000004046,2019-11-25 19:46:00,16,4.9,75,9
DYKZ0000000009132,2019-11-25 19:48:01,11.2,1.5,2909,7
DYKZ0000000009133,2019-11-25 19:52:00,11.9,9,3222,7
LSXPHOTO000004047,2019-11-25 19:53:01,16,6.1,75,9
LSYPHOTO000009926,2019-11-25 20:00:00,14.7,7.1,75,12
DYKZ0000000009137,2019-11-25 20:00:01,11.9,7.6,3300,11
LSXPHOTO000004012,2019-11-25 20:02:01,16,6.6,76,10
DYKZ0000000009131,2019-11-25 20:03:01,12.1,8.3,3324,9
LSXPHOTO000004046,2019-11-25 20:16:01,16,4.4,76,10
DYKZ0000000009132,2019-11-25 20:18:01,11.2,1.2,2910,8
LSXPHOTO000004047,2019-11-25 20:23:01,16,5.6,76,10
LSYPHOTO000009926,2019-11-25 20:30:00,14.7,6.6,76,13
DYKZ0000000009136,2019-11-25 20:30:01,11.9,7.1,38,6
LSXPHOTO000004012,2019-11-25 20:32:00,16,6.1,76,10
DYKZ0000000009131,2019-11-25 20:33:01,12.1,5.6,3324,9
LSXPHOTO000004046,2019-11-25 20:46:01,16,4.2,76,10
DYKZ0000000009132,2019-11-25 20:48:01,11.2,1,2910,8
DYKZ0000000009133,2019-11-25 20:52:00,12.2,3.2,3223,8
LSXPHOTO000004047,2019-11-25 20:53:00,16,5.4,76,10
LSYPHOTO000009926,2019-11-25 21:00:01,14.7,6.6,76,13
LSXPHOTO000004012,2019-11-25 21:02:01,15.9,5.9,77,11
DYKZ0000000009131,2019-11-25 21:03:01,12.1,4.4,3325,10
LSXPHOTO000004046,2019-11-25 21:16:00,16,4.2,77,11
DYKZ0000000009133,2019-11-25 21:20:00,12.1,2.7,3224,9
LSYPHOTO000009926,2019-11-25 21:30:00,14.6,6.6,77,14
LSXPHOTO000004012,2019-11-25 21:32:00,16,5.9,77,11
DYKZ0000000009131,2019-11-25 21:33:00,12.1,4.4,3325,10
LSXPHOTO000004046,2019-11-25 21:46:00,16,3.9,77,11
DYKZ0000000009132,2019-11-25 21:48:00,11.1,1,2911,9
DYKZ0000000009133,2019-11-25 21:50:00,12.1,2.4,3224,9
LSXPHOTO000004047,2019-11-25 21:53:00,16,5.4,77,11
